ID,LACT,DIMatSample,DIMatBreeding,DateofBreeding,ReasonBred,Milking.Shift,Fat...D,CU.Protein,CU.Lactose,Tot.Solids,SNF,NPN.CU,Denovo.FA,Mixed.FA,Performed.FA,DeNovo.Cal.Rel.,Mixed.Cal.Rel..,Preformed.Cal.Rel..,mChainL,mUnsat,PalmiticAcid,StearicAcid,OleicAcid,C181T10,C181T11,SatFAmasspermass,MonoFAmasspermass,PolyFAsmasspermass,FreeFA,CisFAmasspermass,TransFAmasspermass,CitricAcid,BHB,Acetone,Blood.NEFA..ueq.L.,Conductivity,preg
1799,4,69,79,2/20/16,Lut2,M1,3.09,2.6508,4.9593,11.74,8.645,6.7,0.74,1.28,1.02,24.31,42.26,33.43,14.26,0.24,1.23,0.3,0.55,0.008,0.015,2.21,0.68,0.05,0.4,0.7,0.02,1616,0.03,0.05,265.62,6.54,FALSE
1799,4,76,79,2/20/16,Lut2,M1,3.5443,2.9437,4.8105,12.361,8.817,10.8,0.85,1.49,1.04,25.2,44.03,30.77,14.3,0.25,1.42,0.28,0.71,0.001,0.013,2.49,0.82,0.06,0.6,0.87,0,1468,0.04,0.06,171.62,6.41,FALSE
1799,4,83,79,2/20/16,Lut2,M1,3.9786,2.9085,4.6822,12.617,8.634,9.1,0.91,1.55,1.3,24.21,41.18,34.61,14.28,0.26,1.51,0.36,0.81,0.007,0.021,2.75,0.95,0.1,0.6,1.01,0.03,1493,0.07,0.09,209.37,6.41,FALSE
1800,6,44,64,10/23/16,Lut2,M1,4.0188,2.682,4.2171,12.012,7.959,7.8,0.88,1.41,1.45,23.55,37.75,38.7,14.73,0.33,1.31,0.33,0.96,0.021,0.033,2.5,1.18,0.16,1.7,1.21,0.09,1122,0.04,0.03,217,8.17,FALSE
1800,6,45,64,10/23/16,Lut2,M1,4.4783,2.7537,4.2687,12.6,8.093,7.6,0.98,1.54,1.63,23.62,37.04,39.34,14.76,0.34,1.43,0.37,1.08,0.027,0.035,2.76,1.33,0.19,2.1,1.37,0.11,1203,0.06,0.06,275.77,8.22,FALSE
1800,6,46,64,10/23/16,Lut2,M1,2.4416,2.7575,4.1807,10.475,8.001,9.5,0.56,0.83,0.9,24.41,36.31,39.28,14.67,0.34,0.77,0.2,0.57,0.013,0.022,1.51,0.72,0.1,1.4,0.74,0.05,1214,0.02,0.01,231.51,8.65,FALSE
1800,6,47,64,10/23/16,Lut2,M1,4.3549,2.6953,4.1998,12.345,7.956,7.3,0.95,1.54,1.57,23.5,37.86,38.64,14.82,0.33,1.43,0.35,1.03,0.028,0.03,2.71,1.28,0.17,2.3,1.3,0.1,1258,0.06,0.06,223.66,8.26,FALSE
1800,6,48,64,10/23/16,Lut2,M1,4.4332,2.6368,4.2079,12.37,7.9,6.8,0.98,1.62,1.52,23.83,39.22,36.95,14.76,0.32,1.5,0.34,1.03,0.027,0.028,2.78,1.28,0.17,2.1,1.31,0.1,1124,0.03,0.03,230.94,8.23,FALSE
1800,6,51,64,10/23/16,Lut2,M1,2.1475,2.8314,4.2723,10.35,8.178,9,0.46,0.73,0.84,22.89,35.81,41.3,14.76,0.34,0.68,0.2,0.52,0.01,0.011,1.33,0.63,0.09,1.4,0.66,0.04,1167,0.02,0.03,242.4,8.65,FALSE
1800,6,52,64,10/23/16,Lut2,M1,2.2677,2.7883,4.2609,10.414,8.118,8.2,0.5,0.8,0.86,23.09,37.07,39.84,14.78,0.34,0.74,0.18,0.56,0.009,0.012,1.39,0.69,0.09,1.6,0.71,0.04,1141,0.01,0.01,266.87,8.51,FALSE
1800,6,53,64,10/23/16,Lut2,M1,4.0803,2.8417,4.2668,12.293,8.187,6.4,0.87,1.38,1.6,22.58,35.87,41.55,14.82,0.34,1.29,0.37,0.97,0.028,0.029,2.51,1.22,0.17,1.9,1.24,0.11,1310,0.06,0.1,358.84,8.04,FALSE
